Scoop up water	㧾水
Who would know today would be so extremely windy?	點知今日咁鬼屎大風？
Why is my son's tongue like that?	點解仔仔條脷噉樣樣？
Why aren't you using this bookshelf?	點解你唔用呢個書架？
Why do you have so many calluses on your feet?	點解你有咁多腳枕㗎？
Why do you never get fat no matter how much you eat?	點解你食極都唔肥嘅？
Why does the string have several knots in it?	點解條繩有幾個𢲈啊？
Push the table over by the window.	𡃵張台埋去個窗門處。
The baby looks a lot like his father.	BB個樣都幾似佢爸爸。
Baby's face is very white and cutely chubby.	BB塊面白雪雪肥𡁯𡁯。
The baby sucks milk from its mother's breast till its tongue is very white.	BB食奶食到條脷好白。
The grapes are hanging down in clusters.	一串串葡提子墜晒落嚟。
Take turns to speak, and don't create such loud noise like that.	一個一個講，咪咁吱吒。
No matter how smart a person is he or she still has limitations.	一個人哽叻都係有限嘅。
The disease occurs as soon as the cold weather comes.	一到天時冷個病就發作。
The restaurants are really busy during the Chinese New Year.	一到過年啲餐廳都好旺。
Add two spoonfuls of water to dissolve a spoonful of corn starch.	一匙羹生粉開兩匙羹水。
With one bite she bit off half the cookie.	一啖佢𪘁咗半隻曲奇餅。
We must definitely wait for him to come before leaving here together.	一於等到佢嚟先一齊走。
As soon as he is asked to pay the money, he will definitely be unwilling to go.	一話要出錢佢實唔肯去。
Today Saam will come over here and help me.	三姐今日會過嚟幫我手。
Number 3 kicked the ball right into the goal.	三號一腳將波踢入龍門。
How much is three U.S. dollars in Euros?	三蚊美金值幾多歐羅啊？
The Shanghai team tied the Hong Kong team 1 to 1	上海隊同港隊一比一打和
Next Wednesday he must go face charges in court.	下個星期三佢要去提堂。
You had better go together with him.	不如你孖埋佢一齊去啦。
We had better travel by ship to go to Macau.	不如我哋搭艔去澳門啦。
You had better add some sesame oil for flavor.	不如落啲麻油吊吓味啦。
Young man, experience counts when buying jade.	世侄，買玉好講經驗㗎。
It is reported that a suspect has escaped from custody at the Central Police Station.	中區差館傳出走犯消息。
The smashing into pieces of all the cups and plates made a loud clattering sound.	乒鈴𠾴唥打爛晒啲杯碟。
What brings you here to visit me today?	乜今日咁錯蕩嚟探我吖！
How come you expect others to do everything for you?	乜你吓吓都要人服侍㗎？
Don't you know I'm getting married tomorrow?	乜你唔知我聽日結婚咩？
What's up? Have you come here to borrow money again?	乜料？係咪又嚟借錢啊？
Everyone says this old house is very haunted.	人人都話呢間舊屋好猛。
This piece of ginseng is given to Mom for nourishment.	人參係送畀媽咪補身嘅。
You have to take special care of others' belongings.	人哋嘅嘢要擏錫啲先得。
Don't be so meddlesome in other people's business.	人哋嘅嘢，你咪多事喇。
Don't talk so much about other people's business.	人哋嘅嘢，你咪多事喇。
Not all of the people are here, so how on earth can we start our meeting?	人都唔齊，開乜鬼會啊？
There are so damned many people! I can't move!	人鬼咁多！我唔喐得嘅！
This year's first division soccer league earned a good amount of money.	今年嘅甲組聯賽幾收得。
The boy is really damn troublesome today!	今日個仔真係麻鬼煩㗎！
Today let's go out to eat, okay?	今日出去食飯，好唔好？
Today there are especially more people going to watch the ball game.	今日去睇波嘅人零舍多。
Where are we going today to eat our lunch?	今日去邊度食晏晝飯啊？
Today it's so sultry that it will certainly rain.	今日咁焗，一定會落雨。
I'm not free today, so let's wait till some other time.	今日唔得閒，第時先啦。
Today is so steamy, so I feel it's hard to breathe.	今日好焗，唞氣都唔順。
I'm very tired today, so I want to go to bed earlier.	今日好癐，我想早啲瞓。
Today I got a score of zero on my math test.	今日我考數學只得零蛋。
Today I've bought three audio cassettes.	今日我買咗三餅錄音帶。
Today, I played for a whole day, and it was really enjoyable.	今日玩咗一日，真係爽。
Today the horse looks like it is in pretty good condition.	今日隻馬個勢睇嚟唔錯。
The price of gold rebounded strongly today.	今日黃金價格大幅反彈。
What was the quoted price of gold when the market opened today?	今日黃金開市乜嘢盤口？
Do we need to work overtime tonight?	今晚我哋使唔使開OT？
This evening I took a crowded bus to return home.	今晚我逼巴士返屋企喇。
At the end of this month you must make the remaining payment.	今月尾你要交埋啲尾數。
This morning he was jogging and fell and hurt his knee.	今朝佢跑步躀親膝頭𠹭。
This time you have caused me to completely lose face.	今次你攪到我冇晒面㗎。
Oh, what a mess! Someone got killed this time!	今次大鑊！攪出人命𠻹！
This time this hand of cards I have is really pretty good.	今次我呢手牌認真唔錯。
In the past policewomen were not allowed to carry pistols.	以前做女警冇得陀炮㗎。
She then became a woman whose pubic hair had been shaved off.	以後佢就成為一隻白虎。
You're still not being quick! That means I'll arrive late!	仲唔快馬！就嚟遲到喇！
You still have time, so there's no need to be in such a hurry.	仲有時間，唔使咁嚬𠹹。
He's still not finished talking? Why is he so long-winded?	仲未講完？乜咁唚氣㗎？
The shirt looks so ugly, how can I wear it?	件衫咁醜樣，點着得啊？
The shirt is way too small, so it's not suitable for me to wear.	件衫細過頭，唔啱我着。
This shirt should sell for at least three hundred dollars in order to cover its cost.	件衫要賣三百蚊先夠皮。
Although the manuscript was proofread several times, it still has some mistakes.	份稿呎咗幾次仲有啲錯。
As soon as you give her money, she will spread her legs for you.	你一畀錢佢，佢就擘髀。
You look so pretty today you're going to steal the show.	你今日咁靚，搶晒鏡啦。
Do you think I don't need to work for a living?	你估我唔使做嘢搵錢咩？
Is your daughter seriously ill?	你個女嘅病緊唔緊要啊？
Who is older, your daughter or my son?	你個女大定我個仔大啊？
Why did you hit the person on the head and cause him injury?	你做咩打崩人哋個頭吖？
You are the older sister, so you have to put up with your younger brother.	你做家姐要擏吓細佬㗎。
You are his father so you should scold him.	你做老豆嘅應該話吓佢。
If you keep on complaining then I will punch you.	你再嘈多兩嘈我就揈你。
If you don't stop being naughty I'll beat your leg till you're crippled!	你再百厭就扮跛你隻腳！
If your score is not enough, then there's no way to remedy it.	你分數唔夠就冇得𢺳咯。
You can put several benches together and sleep on them as a bed.	你可以攞幾張櫈拍牀瞓。
Can you help me think up a way?	你可唔可以幫我度橋啊？
What matters are you having a serious argument with them about?	你同佢哋嗌霎乜嘢事啊？
What are you and she doing here?	你同佢喺呢度做乜嘢啊？
What use are these wornout and worthless things of yours?	你呢啲爛鬼嘢有乜用啊？
You're so naughty! I'll teach you a lesson for your bad behavior!	你咁反斗㗎！打得少呀！
Are you going to leave halfway through the game and take with you all the money that you've won?	你咁早走又想割禾青呀？
You're so slow. Aren't you afraid of being late?	你咁滋油，唔驚遲到咩？
You're so selfish everyone hates you!	你咁自私，真係犯眾怒！
You're so selfish everyone hates you!	你咁自私，真係犯眾憎！
Did all of you believe him? He was just playing tricks on you.	你哋信佢？佢撚化人咋。
How many children are there in your family?	你哋家中有幾多小朋友？
You look gorgeous even without makeup.	你唔使化妝都靚爆鏡啦。
You don't have to worry, as he is a trustworthy person.	你唔使怕，佢係堅料㗎。
You don't have to worry, as he is a trustworthy person.	你唔使警，佢係堅料㗎。
You don't have to worry. These are good things.	你唔使警，呢啲係好嘢。
If you don't go, then I won't go either.	你唔去，我亦都唔會去。
Don't tease me every time when we meet together!	你唔好見親面就諦人啊！
Don't say I'm biased against gay people.	你唔好話我歧視啲基民。
Don't you goad him into doing wild things.	你唔好𢵌鬼佢去亂攪嘢。
If you don't hurry up, we'll go ahead and eat without you.	你唔快啲我哋食先㗎喇。
How can you stop a taxi if you don't wave your hand?	你唔扱手的士點會停唧？
If you don't pay back the money, I will beat the shit out of you.	你唔還錢，我同你拆骨。
Aren't you afraid of your ferocious wife at home?	你唔驚屋企隻老虎乸咩？
Your skills are still extremely inferior!	你啲技術仲差好多皮喎！
Don't put your books on the TV set.	你啲書唔好擺喺電視上。
Your gang members have offended our gang's leader.	你啲𡃁得罪咗我哋大佬。
Have you ever had a meal at my house?	你喺過我屋企食飯未啊？
Where did you buy these nice things?	你喺邊度買呢啲靚嘢㗎？
In Hong Kong it's best for you to buy genuine things.	你喺香港最好買正斗嘢。
Your salary will be paid every other day.	你嘅人工隔一日畀一次。
You're pouting like that, so does it mean you're unwilling to accept defeat?	你嘴𠴕𠴕噉，唔份氣啊？
The way you do things only upsets everyone.	你噉攪法賺大家冇癮啫。
Your way of doing things is really thoroughly ridiculous!	你噉樣做法真係離晒譜！
By saying things like like that aren't you afraid of offending someone?	你噉講嘢唔怕得失人呀？
You've come in the nick of time, so hurry up and help us!	你嚟啱喇，快啲嚟幫手！
You look so dull-minded sitting here without moving.	你坐喺度唔喐，咁木㗎。
Write a check for me and that will be fine.	你寫張仄紙畀我就得啦。
Could you put the pot up in the cupboard?	你將個煲𠱂喺個櫃上高？
Why did you take these two matters and mix them together?	你將兩單嘢撈埋做乜啊？
As for when you will leave, instruct us about it in advance.	你幾時走，要預早話低。
As for when you will leave, instruct us in advance.	你幾時走，要預早話低。
